iter	Passed	Remaining
0	0	916
1	1	837
2	2	804
3	3	793
4	3	781
5	4	777
6	5	780
7	7	938
8	8	926
9	9	963
10	10	948
11	11	932
12	12	918
13	12	909
14	13	898
15	14	885
16	15	878
17	15	871
18	16	864
19	17	857
20	18	851
21	19	867
22	20	864
23	21	859
24	22	858
25	22	858
26	23	855
27	24	851
28	25	847
29	26	842
30	26	838
31	27	833
32	28	830
33	29	826
34	29	822
35	30	818
36	31	816
37	32	813
38	32	809
39	33	807
40	34	804
41	35	802
42	36	801
43	36	803
44	37	806
45	38	805
46	39	803
47	40	801
48	41	798
49	41	796
50	42	794
51	43	792
52	44	789
53	44	787
54	45	786
55	46	784
56	47	782
57	48	779
58	48	777
59	49	776
60	50	775
61	51	776
62	52	776
63	53	777
64	53	776
65	54	774
66	55	772
67	56	771
68	57	770
69	57	768
70	58	767
71	59	765
72	60	763
73	60	761
74	61	760
75	62	758
76	63	759
77	64	758
78	65	760
79	66	759
80	66	758
81	67	760
82	68	754
83	69	755
84	70	754
85	70	753
86	71	753
87	72	752
88	73	752
89	74	753
90	75	752
91	76	751
92	78	764
93	79	763
94	80	764
95	81	762
96	81	762
97	82	760
98	83	758
99	84	757
100	84	755
101	85	754
102	86	752
103	87	751
104	87	749
105	88	747
106	89	746
107	90	744
108	90	743
109	91	741
110	92	740
111	93	739
112	94	741
113	95	740
114	96	740
115	96	739
116	97	736
117	98	736
118	99	734
119	100	733
120	100	732
121	101	729
122	102	727
123	103	729
124	104	732
125	105	731
126	106	730
127	107	729
128	107	728
129	109	735
130	110	734
131	112	738
132	113	741
133	114	740
134	115	738
135	116	737
136	116	735
137	117	734
138	118	732
139	119	731
140	119	729
141	120	726
142	121	725
143	121	723
144	122	723
145	123	722
146	124	722
147	125	721
148	126	720
149	126	719
150	127	718
151	128	718
152	129	717
153	130	716
154	131	715
155	132	714
156	133	715
157	134	714
158	135	714
159	136	714
160	136	711
161	137	712
162	138	711
163	139	710
164	140	709
165	141	710
166	142	709
167	143	710
168	144	710
169	145	709
170	146	708
171	147	709
172	148	708
173	149	709
174	150	710
175	152	712
176	153	711
177	154	715
178	155	714
179	156	712
180	157	711
181	158	711
182	159	709
183	159	708
184	160	707
185	161	706
186	162	704
187	162	703
188	163	702
189	164	701
190	165	702
191	166	702
192	167	700
193	168	699
194	169	697
195	169	695
196	170	694
197	170	692
198	171	690
199	172	688
200	172	687
201	173	686
202	174	684
203	175	683
204	175	682
205	176	680
206	177	679
207	178	678
208	178	677
209	180	678
210	181	677
211	182	678
212	183	677
213	184	676
214	184	674
215	185	672
216	185	670
217	186	668
218	187	667
219	187	665
220	188	663
221	188	661
222	189	660
223	190	658
224	190	656
225	191	655
226	191	653
227	192	651
228	193	650
229	193	649
230	195	650
231	196	649
232	197	648
233	198	648
234	198	647
235	199	645
236	200	644
237	201	643
238	201	642
239	202	641
240	203	640
241	204	639
242	204	638
243	205	636
244	206	635
245	207	634
246	207	633
247	208	632
248	210	634
249	211	633
250	212	632
251	212	631
252	213	630
253	214	629
254	215	628
255	215	627
256	216	626
257	217	625
258	218	623
259	218	622
260	219	621
261	220	620
262	221	619
263	221	618
264	222	617
265	223	616
266	224	615
267	225	614
268	225	613
269	226	612
270	227	611
271	228	610
272	228	609
273	230	610
274	231	609
275	231	608
276	232	607
277	233	606
278	234	604
279	234	603
280	235	602
281	236	601
282	237	602
283	238	601
284	239	600
285	240	599
286	241	598
287	241	598
288	242	597
289	243	596
290	244	595
291	245	594
292	246	593
293	247	593
294	247	592
295	248	591
296	249	589
297	249	588
298	250	587
299	251	586
300	252	587
301	253	586
302	254	585
303	255	585
304	256	584
305	257	583
306	257	582
307	258	581
308	259	580
309	260	579
310	261	578
311	261	577
312	262	576
313	263	575
314	264	574
315	264	573
316	265	572
317	266	571
318	267	570
319	269	571
320	270	571
321	270	570
322	271	569
323	272	568
324	273	567
325	273	566
326	274	565
327	275	564
328	276	563
329	276	562
330	277	561
331	278	560
332	279	559
333	280	558
334	280	557
335	282	557
336	283	556
337	283	555
338	284	555
339	285	554
340	286	553
341	287	553
342	289	554
343	290	553
344	291	552
345	291	551
346	292	550
347	293	550
348	294	549
349	295	548
350	296	547
351	297	548
352	298	547
353	299	546
354	301	547
355	303	548
356	304	548
357	305	547
358	306	546
359	306	545
360	307	544
361	308	543
362	309	542
363	310	541
364	310	541
365	311	540
366	312	539
367	313	538
368	314	538
369	315	537
370	316	537
371	317	536
372	318	536
373	319	535
374	321	535
375	322	534
376	322	533
377	323	532
378	324	531
379	328	535
380	329	535
381	330	534
382	331	534
383	332	534
384	333	533
385	334	532
386	335	531
387	336	531
388	337	530
389	338	529
390	339	528
391	340	527
392	341	527
393	342	526
394	343	526
395	344	525
396	345	524
397	346	523
398	346	522
399	347	521
400	348	520
401	349	519
402	350	518
403	350	517
404	351	516
405	352	515
406	353	514
407	357	518
408	358	518
409	359	517
410	360	516
411	360	515
412	361	514
413	362	513
414	363	511
415	363	510
416	364	509
417	365	508
418	366	507
419	366	506
420	367	505
421	368	504
422	369	503
423	369	502
424	370	501
425	371	500
426	372	499
427	373	498
428	374	497
429	374	496
430	375	495
431	376	494
432	377	493
433	377	492
434	378	491
435	379	490
436	380	489
437	380	488
438	381	487
439	382	486
440	383	486
441	384	485
442	386	485
443	386	484
444	387	483
445	388	482
446	388	481
447	389	480
448	390	478
449	391	477
450	391	476
451	392	475
452	393	474
453	394	473
454	394	472
455	395	471
456	396	470
457	397	469
458	397	468
459	398	468
460	399	467
461	400	466
462	401	465
463	401	464
464	402	463
465	403	462
466	403	460
467	404	459
468	405	458
469	405	457
470	406	456
471	406	455
472	407	453
473	408	452
474	408	451
475	409	450
476	409	449
477	410	448
478	411	447
479	412	446
480	412	445
481	413	444
482	414	444
483	415	443
484	416	442
485	417	441
486	418	440
487	418	439
488	419	438
489	420	437
490	421	436
491	422	435
492	423	435
493	423	434
494	424	433
495	425	432
496	426	431
497	426	430
498	428	430
499	430	430
500	431	429
501	432	428
502	433	428
503	435	428
504	436	428
505	437	427
506	438	426
507	439	425
508	439	424
509	440	423
510	441	422
511	442	421
512	443	421
513	444	420
514	445	419
515	446	418
516	446	417
517	447	416
518	448	415
519	449	414
520	449	413
521	450	412
522	451	411
523	452	410
524	452	409
525	453	408
526	454	407
527	455	406
528	455	405
529	456	404
530	457	404
531	458	403
532	459	402
533	460	401
534	461	400
535	461	399
536	462	398
537	463	397
538	465	397
539	466	397
540	467	396
541	467	395
542	468	394
543	469	393
544	470	392
545	471	391
546	472	390
547	472	390
548	473	389
549	474	388
550	476	388
551	477	387
552	478	386
553	479	385
554	480	384
555	480	384
556	481	383
557	482	382
558	483	381
559	484	380
560	485	379
561	486	379
562	487	378
563	488	377
564	490	377
565	491	376
566	492	375
567	493	374
568	493	374
569	494	373
570	495	372
571	496	371
572	497	370
573	498	369
574	499	369
575	500	368
576	501	367
577	502	366
578	503	365
579	504	365
580	505	364
581	506	363
582	506	362
583	507	361
584	508	360
585	509	360
586	510	359
587	511	358
588	512	357
589	513	356
590	513	355
591	514	354
592	516	354
593	517	353
594	517	352
595	518	351
596	519	350
597	520	349
598	520	348
599	521	347
600	522	346
601	523	345
602	523	344
603	524	343
604	525	343
605	526	342
606	526	341
607	527	340
608	528	339
609	530	339
610	531	338
611	532	337
612	533	336
613	533	335
614	534	334
615	535	333
616	536	332
617	536	331
618	537	330
619	538	330
620	539	329
621	540	328
622	540	327
623	541	326
624	542	325
625	543	324
626	544	323
627	544	322
628	546	322
629	547	321
630	547	320
631	548	319
632	549	318
633	550	317
634	551	316
635	551	315
636	552	314
637	553	313
638	554	313
639	554	312
640	555	311
641	556	310
642	559	310
643	560	309
644	561	308
645	561	307
646	562	306
647	563	305
648	564	305
649	564	304
650	565	303
651	566	302
652	566	301
653	567	300
654	568	299
655	569	298
656	570	297
657	570	296
658	571	295
659	572	294
660	573	294
661	574	293
662	575	292
663	576	291
664	576	290
665	577	289
666	578	288
667	579	287
668	579	286
669	580	285
670	581	285
671	582	284
672	582	283
673	583	282
674	584	281
675	585	280
676	585	279
677	586	278
678	587	277
679	588	276
680	589	276
681	590	275
682	590	274
683	591	273
684	592	272
685	593	271
686	594	270
687	594	269
688	595	268
689	596	267
690	597	267
691	597	266
692	598	265
693	598	264
694	599	263
695	600	262
696	601	261
697	602	260
698	602	259
699	603	258
700	604	257
701	605	256
702	606	256
703	606	255
704	607	254
705	608	253
706	609	252
707	609	251
708	610	250
709	611	249
710	611	248
711	612	247
712	613	246
713	614	245
714	614	245
715	615	244
716	617	243
717	618	242
718	619	242
719	620	241
720	620	240
721	621	239
722	622	238
723	623	237
724	623	236
725	624	235
726	625	234
727	626	233
728	626	233
729	627	232
730	628	231
731	629	230
732	630	229
733	631	228
734	632	227
735	633	227
736	633	226
737	634	225
738	635	224
739	636	223
740	636	222
741	637	221
742	638	220
743	639	220
744	641	219
745	642	218
746	643	217
747	644	217
748	645	216
749	646	215
750	647	214
751	648	213
752	649	212
753	650	212
754	651	211
755	652	210
756	653	209
757	654	208
758	655	208
759	656	207
760	657	206
761	658	205
762	659	204
763	660	203
